equivalent,p_max,diff,ci_low,ci_high,n1,n2,task_type,metric,source_a,source_b,margin
True,7.288634894965892e-170,-1.5517883667743373,-1.9333837880569544,-1.1701929454917201,511,581,Single-hop Attribute Query,question_len,crag,infoseek,5.0
False,0.9999999998433367,12.219885412491454,11.538720580842483,12.901050244140425,511,581,Single-hop Attribute Query,answer_len,crag,infoseek,10.0
False,0.847662653150132,0.2376918173522373,0.16552257004993132,0.3098610646545433,135,165,Single-hop Attribute Query,rte,crag,infoseek,0.2
False,0.21031894500679515,0.16767676767676767,0.08868941036465415,0.24666412498888118,135,165,Single-hop Attribute Query,lj,crag,infoseek,0.2
True,1.0734783086832357e-23,0.08023483365949119,0.056681217237960116,0.10378845008102226,511,581,Single-hop Attribute Query,text_alone_yes_ratio,crag,infoseek,0.2
True,0.0,0.0,0.0,0.0,511,581,Single-hop Attribute Query,external_dep_yes_ratio,crag,infoseek,0.2
True,2.9716544941417758e-22,0.03017942611935019,-0.004381793247816207,0.06474064548651659,511,581,Single-hop Attribute Query,ok_ratio,crag,infoseek,0.2
True,6.2652857233588286e-30,-0.5903614457831328,-1.244598012023976,0.06387512045771027,83,11,Entity Recognition,question_len,crag,infoseek,5.0
False,0.6634054510008871,10.357064622124863,8.681066022143135,12.033063222106591,83,11,Entity Recognition,answer_len,crag,infoseek,10.0
False,0.06622975084672977,0.09535843017083714,-0.04339125464912175,0.23410811499079603,83,11,Entity Recognition,rte,crag,infoseek,0.2
False,0.275802248969472,0.11938663745892664,-0.16446356555384434,0.4032368404716976,83,11,Entity Recognition,lj,crag,infoseek,0.2
True,3.5134720505661085e-06,0.07228915662650602,0.016576747304410985,0.12800156594860107,83,11,Entity Recognition,text_alone_yes_ratio,crag,infoseek,0.2
True,0.0,0.0,0.0,0.0,83,11,Entity Recognition,external_dep_yes_ratio,crag,infoseek,0.2
False,0.7130176232784522,0.2814895947426068,-0.002591537319331483,0.5655707268045451,83,11,Entity Recognition,ok_ratio,crag,infoseek,0.2
True,4.381047695566209e-32,-0.33307989238507485,-0.9999357235594374,0.3337759387892877,83,206,Entity Recognition,question_len,crag,oven,5.0
False,0.8480472049095857,10.82705579599953,9.23683234043239,12.417279251566672,83,206,Entity Recognition,answer_len,crag,oven,10.0
False,0.1793915977680302,0.15790054086224528,0.06747935020654675,0.24832173151794382,83,206,Entity Recognition,rte,crag,oven,0.2
False,0.09999567314364499,-0.12112527781027016,-0.2421643292727885,-8.622634775182214e-05,83,206,Entity Recognition,lj,crag,oven,0.2
True,3.5134720505661085e-06,0.07228915662650602,0.016576747304410985,0.12800156594860107,83,206,Entity Recognition,text_alone_yes_ratio,crag,oven,0.2
False,0.9999999999999999,0.4854368932038835,0.4171872802061047,0.5536865062016623,83,206,Entity Recognition,external_dep_yes_ratio,crag,oven,0.2
False,0.19138044319587066,-0.14481225874371273,-0.2687392021420233,-0.020885315345402167,83,206,Entity Recognition,ok_ratio,crag,oven,0.2
True,3.4516632596940897e-28,0.2572815533980579,-0.15233357414433035,0.6668966809404462,11,206,Entity Recognition,question_len,infoseek,oven,5.0
True,2.338529760237316e-12,0.46999117387466893,-0.14026618105654898,1.0802485288058867,11,206,Entity Recognition,answer_len,infoseek,oven,10.0
True,0.01681893246745957,0.06254211069140814,-0.06259348252303759,0.18767770390585387,11,206,Entity Recognition,rte,infoseek,oven,0.2
False,0.6225430827429584,-0.2405119152691968,-0.5175760257098687,0.03655219517147512,11,206,Entity Recognition,lj,infoseek,oven,0.2
True,0.0,0.0,0.0,0.0,11,206,Entity Recognition,text_alone_yes_ratio,infoseek,oven,0.2
False,0.9999999999999999,0.4854368932038835,0.4171872802061047,0.5536865062016623,11,206,Entity Recognition,external_dep_yes_ratio,infoseek,oven,0.2
False,0.9494441098418288,-0.42630185348631955,-0.6968397462489484,-0.15576396072369075,11,206,Entity Recognition,ok_ratio,infoseek,oven,0.2
